Country,Type,Disasters,Killed,Injured,Affected,Homeless,Total affected
United States,Drought,2,0,0,0,0,0
United States,General Flood,1,2,0,300,0,300
United States,Heat wave,1,123,0,0,0,0
United States,Local storm,16,126,436,12300,267,13003
United States,Tropical cyclone,3,64,1,77000,0,77001
Venezuela,General Flood,1,0,0,11000,0,11000
Viet Nam,General Flood,1,34,40,0,17500,17540
Viet Nam,Tropical cyclone,3,38,107,59320,279545,338972
Wallis and Futuna Is,Tropical cyclone,1,0,2,1250,0,1252
Yemen,--,1,0,0,1437214,0,1437214
Zaire/Congo Dem Rep,General Flood,1,1,0,3525,1010,4535
Zaire/Congo Dem Rep,Water,1,109,0,0,0,0
Zambia,Water,2,45,0,80,0,80
Zimbabwe,Drought,1,0,0,1667618,0,1667618
